"","ID","Q08post","Q10post","Q11post","Q12post","Q13post","Q15post","Q16post","Q17post","Q18post","Q19post","Q20post","Q21post","Q22post","Q24post","Q09Post","Q14Post"
"1","2919","mass X volume",NA,"Smaller than","it has the same volume as the original block","Smaller than",NA,"Half the density of 1 kg of wood","it has twice the mass of the original block","it has the same density as the original block","It has half the volume, and half the density of the original block","I am 3","I am 3","Another answer?","Same density","Not Sure","Not Sure"
"2","4022","mass X volume",NA,"Smaller than","it has the same volume as the original block","Smaller than","Because what determines if an object will sink or float is the weight of the object","Twice the density of 1 kg of wood","it has the same mass as the original block","it has the same density as the original block","It has half the volume, and half the density of the original block","The blocks will float","The 2 blocks will sink","Density","More dense","Not Sure","Disagree14"
"3","4219","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Bigger than","it has half the volume of the original block","Bigger than","Because what determines if an object will sink or float is the volume (how big it is)","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","I am 3","I am 3","Density","More dense","Agree","Disagree14"
"4","4224","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has the same volume as the original block","Bigger than","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Half the density of 1 kg of wood","it has the same mass as the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will float","The 2 blocks will sink","Density","Same density","Agree","Disagree14"
"5","4229","mass/volume","Because density is a property of the matter, and it can never change","Smaller than","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has twice the density of the original block","it has the same volume, but half the density of the original block","The blocks will sink","The 2 blocks will float","Density","Same density","Agree","Agree14"
"6","4230","mass/volume","Because density is a property of the matter, and it can never change","Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","More dense","Agree","Agree14"
"7","4232","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Bigger than","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","it has the same volume, but half the density of the original block","The blocks will float","The 2 blocks will float","Density","Less dense","Agree","Disagree14"
"8","4235","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Smaller than","it has the same volume as the original block","Same as","Because what determines if an object will sink or float is the volume (how big it is)","Twice the density of 1 kg of wood","it has twice the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","I am 3","The 2 blocks will float","Density","Less dense","Disagree","Disagree14"
"9","4236","volume/mass","Because density is a property of the matter, and it can never change","Smaller than","it has twice the volume of the original block","Same as","Because what determines if an object will sink or float is the volume (how big it is)","Half the density of 1 kg of wood","it has twice the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","Same density","Agree","Disagree14"
"10","4240","mass/volume",NA,"Smaller than","it has half the volume of the original block","Smaller than","Because what determines if an object will sink or float is the volume (how big it is)","Twice the density of 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","I am 3","I am 3","Mass only","More dense","Not Sure","Agree14"
"11","4241","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","Same density","Agree","Disagree14"
"12","4242","volume/mass","Because density is a property of the matter, and it can never change","Bigger than","it has the same volume as the original block","Smaller than","Because what determines if an object will sink or float is the weight of the object","Twice the density of 1 kg of wood","it has twice the mass of the original block","it has half the density of the original block","It has half the volume, but same density of the original block","I am 3","I am 3","Density","More dense","Agree","Disagree14"
"13","4243","mass/volume",NA,"Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will float","The 2 blocks will float","Density","More dense","Disagree","Agree14"
"14","4244","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Bigger than","it has the same volume as the original block","Smaller than","Because what determines if an object will sink or float is the weight of the object","Twice the density of 1 kg of wood","it has the same mass as the original block","it has the same density as the original block","It has half the volume, but same density of the original block","I am 3","The 2 blocks will float","Density","More dense","Disagree","Agree14"
"15","4245","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Smaller than","it has half the volume of the original block","Smaller than","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Half the density of 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will sink","Density","More dense","Agree","Agree14"
"16","4246","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","Less dense","Agree","Agree14"
"17","4247","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","Same density","Disagree","Disagree14"
"18","4248","mass/volume","Because density is a property of the matter, and it can never change","Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will float","I am 3","Density","Same density","Agree","Agree14"
"19","4249","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as",NA,"The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","Less dense","Agree","Not Sure"
"20","4250","mass/volume","Because density is a property of the matter, and it can never change","Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","Same density","Agree","Disagree14"
"21","4251","mass/volume",NA,"Same as","it has twice the volume of the original block","Smaller than","Because what determines if an object will sink or float is the weight of the object","Twice the density of 1 kg of wood","it has the same mass as the original block","it has twice the density of the original block","it has the same volume, but half the density of the original block","The blocks will sink","The 2 blocks will sink","Another answer?","Same density","Disagree","Agree14"
"22","4254","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has the same volume as the original block","Smaller than",NA,"The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, and half the density of the original block","The blocks will sink","The 2 blocks will float","Density","Same density","Disagree","Not Sure"
"23","4257","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Smaller than","it has half the volume of the original block","Smaller than","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","More dense","Disagree","Disagree14"
